# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 ProbabilityDensity_0
# 3 ProbabilityDensity_1
# 4 ProbabilityDensity_2
# 5 ProbabilityDensity_3
# 6 ProbabilityDensity_4
# 7 ProbabilityDensity_5
# 8 ProbabilityDensity_6
# 9 ProbabilityDensity_7
# 10 ProbabilityDensity_8
# 11 ProbabilityDensity_9
# 12 ProbabilityDensity_10
# 13 ProbabilityDensity_11
# 14 ProbabilityDensity_12
# 15 ProbabilityDensity_13
# 16 ProbabilityDensity_14
# 17 ProbabilityDensity_15
# 18 ProbabilityDensity_16
# 19 ProbabilityDensity_17
# 20 ProbabilityDensity_18
# 21 ProbabilityDensity_19
# x ProbabilityDensity_0 ProbabilityDensity_1 ProbabilityDensity_2 ProbabilityDensity_3 ProbabilityDensity_4 ProbabilityDensity_5 ProbabilityDensity_6 ProbabilityDensity_7 ProbabilityDensity_8 ProbabilityDensity_9 ProbabilityDensity_10 ProbabilityDensity_11 ProbabilityDensity_12 ProbabilityDensity_13 ProbabilityDensity_14 ProbabilityDensity_15 ProbabilityDensity_16 ProbabilityDensity_17 ProbabilityDensity_18 ProbabilityDensity_19 
1560.1 136.667 12977.8 1.57948e+06 429327 1.61699e+06 1.24982e+06 1.36253e+06 1.23468e+06 789258 564641 188289 34486.7 15564.4 172881 451790 811010 1.15413e+06 1.35113e+06 1.4816e+06 1.32387e+06 
1560.16 153.18 14132.2 1.70108e+06 453995 1.67299e+06 1.25397e+06 1.30448e+06 1.11557e+06 638738 389591 79522.1 11.8759 97634.6 368019 713792 1.0796e+06 1.36609e+06 1.42048e+06 1.39147e+06 1.07442e+06 
1560.21 171.072 15312.9 1.82182e+06 476845 1.71646e+06 1.24414e+06 1.22817e+06 981944 489860 237537 15566 32001.8 242079 607112 976820 1.29151e+06 1.46765e+06 1.34957e+06 1.15919e+06 737303 
1560.27 190.444 16516.8 1.94103e+06 497648 1.74677e+06 1.22059e+06 1.13598e+06 839033 350157 117746 1212.01 127646 433923 861512 1.20483e+06 1.4136e+06 1.44103e+06 1.15244e+06 835547 394297 
1560.32 211.412 17741.1 2.05807e+06 516202 1.76351e+06 1.18389e+06 1.03079e+06 692434 226682 37509.3 37534.7 278547 653297 1.10077e+06 1.36661e+06 1.42682e+06 1.29096e+06 868063 491274 128564 
1560.38 234.101 18982.8 2.17233e+06 532333 1.7665e+06 1.1349e+06 915832 547868 125657 1701.99 121822 471471 877503 1.29626e+06 1.44005e+06 1.32918e+06 1.0438e+06 552570 201555 4506.33 
1560.43 258.649 20239.1 2.28324e+06 545891 1.75575e+06 1.07475e+06 794646 410958 52162.3 12497.2 247789 689516 1.08337e+06 1.42465e+06 1.41513e+06 1.13597e+06 742863 268215 29636.3 52180 
1560.49 285.207 21507.5 2.39025e+06 556758 1.73151e+06 1.0048e+06 670937 287014 9886.43 69242.3 406053 913606 1.24964e+06 1.47063e+06 1.29534e+06 877421 440882 71073.5 13033.6 260046 
1560.54 313.941 22785.4 2.49284e+06 564845 1.69422e+06 926631 548478 180830 947.221 168509 584843 1.12416e+06 1.3592e+06 1.42877e+06 1.0971e+06 593949 190723 3.99771 155371 577792 
1560.6 345.035 24070.5 2.59056e+06 570093 1.64452e+06 841980 430984 96503.2 25792.2 304307 770881 1.30281e+06 1.40077e+06 1.30412e+06 847564 329817 36153.4 69010.2 425625 928545 
